,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,,,
"Table Title: Singapore Citizens By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,,,
,,,,,,,,,,,,
Data last updated: 29/09/2023,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Number
Data Series,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1980 ,1970 
Total Citizen,2958379,2929731,2894794,2860419,2823707,2784168,2742826,2702430,2664625,2623736,2194280,1874778
  0 - 4 Years,217384,226217,230711,233723,237483,237272,239726,237499,228811,219067,183210,226454
  5 - 9 Years,240213,242730,240417,231303,221079,215044,202397,197004,198547,198516,213775,267122
  10 - 14 Years,216614,204223,199048,200735,201197,198698,198203,194030,193588,191808,224112,273014
  15 - 19 Years,200692,200822,196752,196162,194141,194718,199079,208069,212689,217727,264927,227001
  20 - 24 Years,196291,200733,209782,214316,219294,220820,219778,218685,221998,230311,264370,175775
  25 - 29 Years,224069,223478,222067,225207,232884,242956,255311,264285,271145,275477,222280,102974
  30 - 34 Years,247213,259349,268000,275007,279257,283442,285023,286176,287075,284011,183267,112188
  35 - 39 Years,286232,288099,289216,290099,286858,281488,274459,265506,254619,243492,113943,99402
  40 - 44 Years,282772,276418,267708,256794,245793,236537,227077,218777,213230,196558,114894,89503
  45 - 49 Years,236647,227742,219593,213955,197251,173949,157145,138777,121009,120661,97572,72546
  50 - 54 Years,172967,156311,138038,120347,119943,125486,125196,124204,119550,112111,85395,64000
  55 - 59 Years,122725,122423,121400,116745,109292,104773,99087,97124,97573,96518,65692,59360
  60 - 64 Years,99946,94333,92281,92536,91347,87493,85403,83827,82330,79851,55522,44625
  65 - 69 Years,80309,78103,76389,74821,72562,69133,65486,62206,59406,57445,46072,30228
  70 - 74 Years,60160,56676,53259,50384,48342,47326,46144,45027,44134,43409,30992,16534
  75 - 79 Years,36396,35046,34132,33327,32899,32149,31767,31574,31272,31118,17141,8614
  80 - 84 Years,21503,21227,20988,20899,20855,20624,20105,19193,18077,16769,7184,na
