,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Population,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Population and Population Structure,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Key Annual Indicators on Population,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Singapore Citizens By Age Group, Ethnic Group And Sex, End June, Annual",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 29/09/2023,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Number
Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 
Total Citizen,3610658,3553749,3498191,3523191,3500940,3471936,3439177,3408943,3375023,3343030,3313507,3285140,3257228,3230719,3200693,3164438,3133848,3107924,3081001,3057087,3032541,3043397,3017092,2985886
  0 - 4 Years,167104,169201,169337,172396,173025,172621,173301,172328,167850,165477,165161,165250,165503,167225,166511,164314,164881,167717,174799,181980,188466,197439,205233,209701
  5 - 9 Years,183103,182516,180632,178124,176184,175796,175308,174769,176018,175633,174459,174649,176893,183948,190054,195111,201967,209169,213012,218622,226758,233349,236110,239691
  10 - 14 Years,181868,179901,178362,181597,181471,180222,179983,181745,188794,195240,200724,207846,214947,218520,223230,230418,233841,236544,239894,240294,243046,242037,232821,222591
  15 - 19 Years,186664,184960,185710,193789,200417,205723,212409,219247,222394,226912,234254,237919,240098,243141,242808,244782,242388,232769,222410,216215,204105,199878,201787,202842
  20 - 24 Years,210595,215664,220705,225822,229939,237046,240312,242395,245523,245488,247427,244809,235112,224539,217901,204764,199307,200710,201131,198290,197943,197944,197575,195765
  25 - 29 Years,241295,242043,240892,248515,248582,250958,248107,238534,227690,220716,207915,202645,204269,205322,203328,202276,198089,197324,195249,195635,199942,211999,216895,222180
  30 - 34 Years,259368,254000,241056,235602,230112,217874,212528,214768,214822,211985,211704,207243,205957,203855,203431,206084,214037,218395,223235,225061,224235,226645,229436,236905
  35 - 39 Years,230146,222105,221408,226314,225029,224625,219050,217479,214398,213574,216722,225063,228830,233281,233803,231185,229007,230941,237397,246616,258327,270516,277447,281850
  40 - 44 Years,235248,226300,221995,224361,224611,227556,234761,237675,241473,242092,240257,238209,239228,244830,252445,262329,269373,275566,278890,283289,284831,289580,290347,287417
  45 - 49 Years,234938,239262,239356,248237,249425,247329,244234,244481,249203,256500,266193,273172,278733,281245,284290,284611,285200,285681,282869,278200,272059,266459,256016,245436
  50 - 54 Years,250801,244727,242367,251452,258863,267845,273694,278617,280517,283382,283720,283778,283789,280579,275683,269243,260756,250502,239822,231607,222909,217372,211957,195751
  55 - 59 Years,266253,268972,270998,277552,280379,280396,279871,279402,276135,270741,264449,256170,246024,235384,227371,218383,210898,205460,189699,167722,151753,135078,117793,117433
  60 - 64 Years,273743,270885,268008,268886,263899,257548,249124,239135,228653,220446,211876,204520,199131,183596,162181,146535,129287,112515,112102,117314,116741,116459,111942,104419
  65 - 69 Years,247171,237357,226197,219275,211529,202905,195428,189921,174881,154483,139555,122991,106796,106072,110778,110048,108848,104353,97099,92586,86999,85347,85487,84185
  70 - 74 Years,190120,181861,175551,163572,144329,130055,114360,98927,97897,102019,101100,99949,95888,88773,84066,78441,76110,75906,74367,70454,68155,67052,65445,63318
  75 - 79 Years,116673,102041,87713,87310,90792,89536,88288,84504,78008,73467,68096,65489,64856,63297,59767,57366,55144,52872,50111,46432,41561,43247,40255,37775
  80 - 84 Years,73519,72520,69427,64223,60190,55232,52652,51988,50325,47127,44945,42929,41023,38769,36092,32899,30490,28500,27015,26119,25169,24307,23028,22039
  85 - 89 Years,38826,36940,36788,35696,33120,31243,29712,28321,26745,24783,22528,20824,19127,17913,17055,16295,15525,14804,14131,13411,12890,12500,11989,11626
  65 Years & Over,689532,653213,617365,590544,559004,526397,496495,468368,441553,414844,388646,363867,338714,325254,317657,304403,294817,284631,270492,256242,241426,238642,231733,223905
  70 Years & Over,442361,415856,391168,371269,347475,323492,301067,278447,266672,260361,249091,240876,231918,219182,206879,194355,185969,180278,173393,163656,154427,153295,146246,139720
  75 Years & Over,252241,233995,215617,207697,203146,193437,186707,179520,168775,158342,147991,140927,136030,130409,122813,115914,109859,104372,99026,93202,86272,86243,80801,76402
  80 Years & Over,135568,131954,127904,120387,112354,103901,98419,95016,90767,84875,79895,75438,71174,67112,63046,58548,54715,51500,48915,46770,44711,42996,40546,38627
  85 Years & Over,62049,59434,58477,56164,52164,48669,45767,43028,40442,37748,34950,32509,30151,28343,26954,25649,24225,23000,21900,20651,19542,18689,17518,16588
  90 Years & Over,23223,22494,21689,20468,19044,17426,16055,14707,13697,12965,12422,11685,11024,10430,9899,9354,8700,8196,7769,7240,6652,6189,5529,4962
Total Male Citizens,1782965,1757875,1733837,1745024,1734912,1722188,1707234,1693719,1678802,1664026,1650555,1636935,1623749,1611271,1597669,1580577,1566114,1553660,1540566,1529512,1517732,1524874,1512670,1497804
  0 - 4 Years,85550,86509,86634,88197,88687,88607,89156,88694,86532,85186,85109,84909,85057,85878,85531,84404,84733,86218,90162,94100,97761,102438,106496,108529
  5 - 9 Years,93864,93894,92974,91755,90607,90485,89963,89629,90219,90114,89466,89532,90730,94618,98061,100982,104627,108384,110132,113022,116923,120518,121537,123458
  10 - 14 Years,93571,92341,91619,93000,93006,92319,92158,93087,97002,100531,103711,107467,111103,112767,115200,118629,120554,121564,123406,123668,125150,124563,120227,115074
  15 - 19 Years,95617,94952,95489,99700,103282,106330,109825,113303,114752,117098,120513,122629,123349,124916,124708,125863,124556,120088,114906,111760,105644,103538,104689,105026
  20 - 24 Years,109484,112471,115291,117155,119121,122575,124468,125294,127069,127130,128158,126635,121856,116412,112976,106262,103512,104253,104078,102173,101582,102293,101900,100965
  25 - 29 Years,125082,125777,125045,128690,128542,129837,128074,123404,117863,114108,107444,104684,105602,105757,104752,104134,101696,100992,99834,99888,101808,108153,110490,113081
  30 - 34 Years,132343,129526,123336,120229,117060,110705,107994,109194,108986,107673,107360,104808,103871,102741,102496,103818,107863,109830,112089,112734,111887,113027,114294,118083
  35 - 39 Years,114814,110784,110754,112668,112135,111745,108833,107903,106519,106084,107733,111942,113923,116096,116199,114722,113524,114442,117733,122605,128827,134809,138484,140946
  40 - 44 Years,115280,110672,108442,109469,109569,111210,115079,116831,118842,119179,118299,117354,118105,121236,125378,130749,134394,137711,139452,142000,143152,145327,145880,144382
  45 - 49 Years,113523,116042,116463,120952,121482,120509,119274,119782,122733,126883,132365,136141,139131,140659,142395,142766,143199,143525,141964,139371,136477,133633,128267,123131
  50 - 54 Years,121346,118751,118139,123156,127510,132636,135912,138668,139979,141565,142023,142097,142130,140342,137663,134640,130567,125254,120055,116005,111415,108278,105583,97474
  55 - 59 Years,131194,132922,134517,137919,139419,139669,139488,139343,137486,134529,131529,127584,122404,117209,113214,108517,104449,101697,93858,83011,74859,66586,57877,57403
  60 - 64 Years,135354,134203,133032,132939,130175,127127,123108,117973,112975,108898,104379,100360,97602,89928,79418,71407,63034,54592,54049,56393,55948,55858,54117,50857
  65 - 69 Years,120440,116045,110565,107012,103193,98644,94559,91759,84408,74512,66942,59020,50926,50243,52232,51688,51110,49328,46220,44139,41566,40714,40660,39931
  70 - 74 Years,90613,86330,83165,77232,68035,60956,53591,45986,45179,46800,46162,45579,44004,40962,38751,36174,35003,34716,33838,32112,31073,30560,29761,28865
  75 - 79 Years,52786,46152,39270,38812,40165,39346,38695,37306,34594,32453,30020,28711,28172,27329,25909,24770,23569,22395,21042,19483,17425,18859,17554,16446
  80 - 84 Years,30374,29905,28927,26869,25137,22952,21655,21190,20285,18939,17986,16929,16017,14996,13976,12709,11785,11114,10599,10200,9737,9453,8871,8457
  85 - 89 Years,14674,13804,13621,13124,12132,11429,10651,10039,9369,8632,7771,7184,6584,6169,5853,5539,5359,5125,4837,4637,4433,4276,4182,4109
  65 Years & Over,315943,299031,282102,269195,254317,238434,223902,210614,197845,185048,172466,160793,148886,142712,139678,133684,129406,125110,118848,112782,106299,105853,102829,99395
  70 Years & Over,195503,182986,171537,162183,151124,139790,129343,118855,113437,110536,105524,101773,97960,92469,87446,81996,78296,75782,72628,68643,64733,65139,62169,59464
  75 Years & Over,104890,96656,88372,84951,83089,78834,75752,72869,68258,63736,59362,56194,53956,51507,48695,45822,43293,41066,38790,36531,33660,34579,32408,30599
  80 Years & Over,52104,50504,49102,46139,42924,39488,37057,35563,33664,31283,29342,27483,25784,24178,22786,21052,19724,18671,17748,17048,16235,15720,14854,14153
  85 Years & Over,21730,20599,20175,19270,17787,16536,15402,14373,13379,12344,11356,10554,9767,9182,8810,8343,7939,7557,7149,6848,6498,6267,5983,5696
  90 Years & Over,7056,6795,6554,6146,5655,5107,4751,4334,4010,3712,3585,3370,3183,3013,2957,2804,2580,2432,2312,2211,2065,1991,1801,1587
Total Female Citizens,1827693,1795874,1764354,1778167,1766028,1749748,1731943,1715224,1696221,1679004,1662952,1648205,1633479,1619448,1603024,1583861,1567734,1554264,1540435,1527575,1514809,1518523,1504422,1488082
  0 - 4 Years,81554,82692,82703,84199,84338,84014,84145,83634,81318,80291,80052,80341,80446,81347,80980,79910,80148,81499,84637,87880,90705,95001,98737,101172
  5 - 9 Years,89239,88622,87658,86369,85577,85311,85345,85140,85799,85519,84993,85117,86163,89330,91993,94129,97340,100785,102880,105600,109835,112831,114573,116233
